index,plane_label,ifc_type,ifc_global_id,ifc_name
9155,plane_01,IfcWall,20rBv4HojAY8M3avWLHAad,Basic Wall:Basic wall ex:1201738
9156,plane_01,IfcWall,20rBv4HojAY8M3avWLHAad,Basic Wall:Basic wall ex:1201738
9157,plane_02,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
9158,plane_02,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
9159,plane_01,IfcWall,20rBv4HojAY8M3avWLHAad,Basic Wall:Basic wall ex:1201738
9160,plane_02,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
9161,plane_00,IfcWall,20rBv4HojAY8M3avWLHAgu,Basic Wall:Basic wall ex:1201621
9162,plane_00,IfcWall,20rBv4HojAY8M3avWLHAgu,Basic Wall:Basic wall ex:1201621
9163,plane_01,IfcWall,20rBv4HojAY8M3avWLHAad,Basic Wall:Basic wall ex:1201738
9164,plane_03,IfcWall,3S3VgMDFLDiPHeIJPk5HSc,Basic Wall:Basic wall ex:1200762
9165,plane_00,IfcWall,20rBv4HojAY8M3avWLHAgu,Basic Wall:Basic wall ex:1201621
9166,plane_01,IfcWall,20rBv4HojAY8M3avWLHAad,Basic Wall:Basic wall ex:1201738
9167,plane_02,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
9168,plane_01,IfcWall,20rBv4HojAY8M3avWLHAad,Basic Wall:Basic wall ex:1201738
9169,plane_02,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
9170,plane_02,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
9171,plane_03,IfcWall,3S3VgMDFLDiPHeIJPk5HSc,Basic Wall:Basic wall ex:1200762
9172,plane_03,IfcWall,3S3VgMDFLDiPHeIJPk5HSc,Basic Wall:Basic wall ex:1200762
9173,plane_01,IfcWall,20rBv4HojAY8M3avWLHAad,Basic Wall:Basic wall ex:1201738
9174,unlabeled,,,
9175,plane_02,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
9176,plane_06,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
9177,plane_01,IfcWall,20rBv4HojAY8M3avWLHAad,Basic Wall:Basic wall ex:1201738
9178,plane_01,IfcWall,20rBv4HojAY8M3avWLHAad,Basic Wall:Basic wall ex:1201738
9179,plane_02,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
9180,plane_01,IfcWall,20rBv4HojAY8M3avWLHAad,Basic Wall:Basic wall ex:1201738
9181,plane_06,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
9182,plane_02,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
9183,plane_01,IfcWall,20rBv4HojAY8M3avWLHAad,Basic Wall:Basic wall ex:1201738
9184,plane_03,IfcWall,3S3VgMDFLDiPHeIJPk5HSc,Basic Wall:Basic wall ex:1200762
9185,plane_01,IfcWall,20rBv4HojAY8M3avWLHAad,Basic Wall:Basic wall ex:1201738
9186,plane_02,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
9187,plane_02,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
9188,plane_01,IfcWall,20rBv4HojAY8M3avWLHAad,Basic Wall:Basic wall ex:1201738
9189,plane_01,IfcWall,20rBv4HojAY8M3avWLHAad,Basic Wall:Basic wall ex:1201738
9190,plane_02,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
9191,plane_01,IfcWall,20rBv4HojAY8M3avWLHAad,Basic Wall:Basic wall ex:1201738
9192,plane_03,IfcWall,3S3VgMDFLDiPHeIJPk5HSc,Basic Wall:Basic wall ex:1200762
9193,plane_01,IfcWall,20rBv4HojAY8M3avWLHAad,Basic Wall:Basic wall ex:1201738
9194,plane_03,IfcWall,3S3VgMDFLDiPHeIJPk5HSc,Basic Wall:Basic wall ex:1200762
9195,plane_01,IfcWall,20rBv4HojAY8M3avWLHAad,Basic Wall:Basic wall ex:1201738
9196,plane_01,IfcWall,20rBv4HojAY8M3avWLHAad,Basic Wall:Basic wall ex:1201738
9197,plane_01,IfcWall,20rBv4HojAY8M3avWLHAad,Basic Wall:Basic wall ex:1201738
9198,plane_01,IfcWall,20rBv4HojAY8M3avWLHAad,Basic Wall:Basic wall ex:1201738
